ItemID,Item_name,Bowl,Cup,1tablespoon,1teaspoon,small,medium,large
376,Wedding Cake,,,,,,,
377,3 Musketeers,,,,,,,
378,After Eight,,,,,,,
379,Airheads,,,,,,,
380,Almond Roca,,,,,,,
381,Angel Delight,,,,,,,
382,Animal Crackers,,,,,,,
383,Baby Ruth,,,,,,,
384,Butterfinger,,200,25,4.17,,,
385,Buttermilk Pancakes,,,,,,,
386,Candy Apple,,,,,,,
387,Candy Cane,,,,,,,
388,Candy canes,,,,,,,
389,Candy Corn,,200,12.5,4.17,,,
390,Candy Floss,,,,,,,
391,Caramel Popcorn,,42,2.63,0.88,,,
392,Caramel squares,,,,,25.74,42,76
393,Celebrations,,,,,,,
394,Cheezs,,,,,,,
395,Chocolate,,,,,,,
396,Chocolate Bar,,,,,,,
397,Chocolate Chips,,42,10.5,3.5,,,
398,Cookies,,,,,,,
399,Cotton Candy,,7,0.44,0.15,,,
400,Eggy Bread,,40,2.5,0.83,,,
401,Fairy Cakes,,,,,,,
402,Ferrero Rocher,,,,,,,
403,Flapjack,,,,,,,
404,Fortune Cookies,,,,,,,
405,Granola Bars,,,,,,,
406,Gumdrops,,,,,,,
407,Gummi Bears,,,,,,,
408,Hanuta,,,,,,,
409,Hershey Kisses,,,,,,,
410,Jelly Beans,,234,14.63,4.88,11,,
411,Jelly Belly,,,,,,,
412,Jolly Ranchers,,,,,,,
413,Jordan Almonds,,195,12.19,4.06,,,
414,Kit Kat,,,,,,,
415,Laffy Taffy,,,,,,,
416,LifeSavers,,,,,,,
417,Lindt Chocolate,,,,,,,
418,Liquorice,,,,,,,
419,Lollipop,,,,,,,
420,M and M s,,208,13,4.33,,,
421,Maltesers,,,,,,,
422,Mars Bar,,,,,,,
423,Marshmallows,,,,,,,
424,Marzipan,,228.11,14.26,4.75,,,
425,Mike and Ike,,,,,,,
426,Milk Duds,,101,6.31,2.1,,,
427,Milky Way,,,,,,,
428,PayDay,,,,,,,
429,Peanut Bar,,,,,,,
430,Peanut Brittle,,147,9.19,3.06,,,
431,Peanut Butter Bars,,,,,,,
432,Peanut Butter Cookies,,,,,,,
433,Peppermint bark,,,,,,,
434,Pez,,,,,,,
435,Popcorn,,7.9,0.49,0.16,,,
436,Pumpkin Seeds,,64,4,1.33,,,
437,Reeses Peanut Butter Cups,,,,,,,
438,Rice Pudding,,172,10.75,3.58,,,
439,Roasted Almonds,,,,,,,
440,Rolo,,,,,,,
441,Semolina,,167,10.44,3.48,,,
442,Skittles,,205,12.81,4.27,,,
443,Smarties,,,,,,,
444,Smores,,,,,,,
445,Snickers,,,,,,,
446,Sour Patch Kids,,,,,,,
447,Speculoos,,,,,,,
448,Spritz Cookies,,,,,,,
449,Toblerone,,,,,,,
450,Trifle,,139.6,8.72,2.91,,,
451,Twix,,,,,,,
452,Waffles,,,,,,,
453,Whoopie Pie,,,,,,,
454,Applesauce,,246,15.38,5.13,,,
455,Canned Apricots,,,,,,,
456,Canned Blackberries,,144,9,3,,,
457,Canned Blueberries,,148,9.25,3.08,,,
458,Canned Cherries,,,,,,,
459,Canned Cranberries,,,,,,,
460,Canned Crushed Pineapple,,249,15.56,5.19,,,
461,Canned Figs,,,,,,,
462,Canned Fruit Cocktail,,248,15.5,5.17,,,
463,Canned Fruit Salad,,162.4,10.15,3.38,,,
464,Canned Gooseberries,,150,9.38,3.13,,,
465,Canned Grapefruit,,,,,,,
466,Canned Grapes,,151,9.44,3.15,,,
467,Canned Mandarin Oranges,,249,15.56,5.19,,,
468,Canned Mango,,,,,,,
469,Canned Mangosteen,,216,13.5,4.5,,,
470,Canned Mixed Fruit,,162.4,10.15,3.38,,,
471,Canned Morello Cherries,,,,,,,
